Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,IFNg_serum,IgE_serum,IgG1_serum,IgG2a_serum,IL.4_serum,IL.5_serum,IL.10_serum,IFNg_Ag.MLN.stim,IFN_CD3.MLN.stim,IFN_Media.MLN.stim,IL.5_Media.MLN.stim,IL.5_Ag.MLN.stim,IL.5_CD3.MLN.stim,IL.10_Media.MLN.stim,IL.10_CD.MLN.stim,IL.10_Ag.MLN.stim,IL.17.Media.MLN.stim,IL.17_CD.MLN.stim,IL.17_Ag.MLN.stim,wean.BW,FinalBW,ADWG,ADWG.expt,ADWG.expt.diet,spleen.wt,Gut.wt,Spl_BW,Gut_BW,colon.contents,wet.carcass.wt,dry.carcass.wt,Fat_,GAPDH_qPCR.gut,Arg1_qPCR.gut,CD36_qPCR.gut,Idlr_qPCR.gut,iNOS_qPCR.gut,PPARg1.2_qPCR.gut,RELMa_qPCR.gut,Arg1_qPCR.spleen,CD36_qPCR.spleen,GAPDH_qPCR.spleen,Idlr_qPCR.spleen,iNOS_qPCR.spleen,PPARg1.2_qPCR.spleen,RELMa_qPCR.spleen,Total.worms
SB-105,28,ROL,0_1,0,1,LP,21,0,0.228,8.07121854,0,0,0,0,0,3.54,0,0,0.544,1.153,0.041,0.656,0.199,0,0.44,0,6.29,15.01,0.264,0.147,0.076,0.041,0.759,2.732,50.566,0.1,13,5,13.262,0.398,0.001,0,0.626,0.009,0.023,0.004,0.176,0.076,0.33,1.435,0.106,0.328,0.008,0
SB-105,29,ROL,0_0,0,0,LP,21,0,0.017,0,0,0.001,0,0,0,2.704,0,0,0,0,0,0.143,0,0,0,0,5.63,15.04,0.285,0.106,0.142,0.034,0.693,2.261,46.077,0.13,13.2,4.9,11.747,0.016,0,0,0.006,0,0,0,0.069,0.002,0.075,0.013,0.038,0.026,0.002,2
SB-105,30,ROH,1_0,1,0,LP,21,0,0.101,9.457278572,6.685860947,0.029,0,0,0,0.607,0.57,0.016,0.015,5.412,0,2.191,1.427,0.821,0,2.288,19.86,47.48,0.837,0.624,0.478,0.065,2.249,1.369,47.367,0.18,43.22,20.7,23.921,0.378,0.007,0.226,0.035,3.785,0.038,0.047,0.162,0.105,0.331,1.15,0.136,0.317,0.003,0
SB-105,31,ROH,1_0,1,0,HP,21,0,0.035,10.84351434,6.685860947,0,0,0,0,0,0,0.678,0.014,0.171,9.81,0.116,0,3.889,0.427,2.194,18.85,54.21,1.072,1.058,1.218,0.14,2.49,2.577,45.938,0.19,50.53,23.5,22.353,0.064,0,0,0.004,1.34,0.003,0.024,0.001,0,0.02,0.05,0.016,0.011,0,0
SB-105,32,ROH,0_1,0,1,HP,9,0,0.055,0,6.685860947,0,0,0,0,0,0,0,0,0.666,0,0.658,0,0,0,0,13.97,46.62,0.989,0.811,0.91,0.137,2.285,2.939,49.013,0.531,41.84,19.3,21.925,0.272,0,0,0.794,0.005,0.01,0.001,0.051,0.009,0.253,0.126,0.07,0.145,0.007,2
SB-105,33,ROH,0_0,0,0,LP,21,0,0.001,0,6.685860947,0,0,0,0,0,0,0.011,0.011,0.015,0,0,0.116,2.135,0,0,15.08,38.33,0.705,0.486,0.344,0.08,1.9,2.077,49.559,0.19,35.33,15.3,18.736,0.002,0,0,0.013,0.013,0,0,0.012,0.004,0.132,0.169,0.171,0.099,0.002,0
SB-105,35,ROH,0_1,0,1,LP,21,0,0.087,0,6.685860947,0.008,0,0,0,0,0,0.012,0.015,0.085,0,0,0,0,0,0,20.33,41.15,0.631,0.316,0.031,0.094,1.741,2.282,42.309,0.27,36.05,16.5,21.52,0.379,0,0.003,2.71,0.007,0.022,0.001,0.164,0.074,0.374,1.09,0.195,0.545,0.009,8
SB-105,36,ROH,1_1,1,1,LP,9,0,0.215,11.72804491,0,0,0,0,0,0,0,0,0,0.88,0,1.018,0,0,0,0,19.27,36.07,0.509,0.192,-0.283,0.121,2.04,3.355,56.557,0.811,32.83,12.2,11.792,0.405,0.349,0.117,0.138,0.379,0.042,0.1,1.6,0.04,0.329,0.371,0.109,0.411,0.137,0
SB-105,37,ROH,0_1,0,1,HP,21,0,0.102,8.764209507,8.07121854,0,0,0,0,0,0,0.012,0.013,0.269,0,0,0.27,0,0,0,16.09,52.93,1.116,1.041,1.323,0.122,2.046,2.305,38.655,0.3,48.46,22.8,22.965,0.073,0,0,0.703,0.006,0.002,0.006,0.065,0.03,0.288,0.349,0.182,0.394,0.006,20
SB-105,38,ROH,0_0,0,0,HP,21,0,0.006,0,0,0,0,0,0,4.133,0,0,0,0,0,0.388,0,0,2.434,0,20.38,63.21,1.298,1.293,1.523,0.15,2.679,2.373,42.378,0.36,57.8,27.1,22.781,0.001,0,0,0.011,0,0,0,0.111,0.01,0.226,0.144,0.099,0.436,0.003,0
